Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
"67,""'246"",""Finland"",""426"",""'01251"",""Carrots and turnips"",""5419"",""Yield"",""1981"",""1981"",""hg/ha"",""180088.000000"",""E"""
"198,""'705"",""Slovenia"",""401"",""'01231"",""Chillies and peppers, green (Capsicum spp. and Pimenta spp.)"",""5419"",""Yield"",""1995"",""1995"",""hg/ha"",""154068.000000"",""E"""
"27,""'100"",""Bulgaria"",""1091"",""'0232"",""Eggs from other birds in shell, fresh, n.e.c."",""5413"",""Yield"",""1991"",""1991"",""No/An"",""35.000000"",""E"""
"15,""'058"",""Belgium-Luxembourg"",""515"",""'01341"",""Apples"",""5510"",""Production"",""1968"",""1968"",""tonnes"",""181000.000000"",""A"""
"106,""'380"",""Italy"",""587"",""'01359.01"",""Persimmons"",""5510"",""Production"",""1981"",""1981"",""tonnes"",""62800.000000"",""A"""
"229,""'826"",""United Kingdom of Great Britain and Northern Ireland"",""75"",""'0117"",""Oats"",""5419"",""Yield"",""2015"",""2015"",""hg/ha"",""60992.000000"",""E"""
"198,""'705"",""Slovenia"",""898"",""'22212"",""Skim milk and whey powder"",""5510"",""Production"",""2016"",""2016"",""tonnes"",""3666.000000"",""I"""
"104,""'372"",""Ireland"",""1765"",""'F1765"",""Meat, Total"",""5510"",""Production"",""2015"",""2015"",""tonnes"",""1026927.000000"",""E"""
"97,""'348"",""Hungary"",""108"",""'01199.90"",""Cereals n.e.c."",""5419"",""Yield"",""1964"",""1964"",""hg/ha"",""15294.000000"",""E"""
"27,""'100"",""Bulgaria"",""388"",""'01234"",""Tomatoes"",""5510"",""Production"",""1961"",""1961"",""tonnes"",""726456.000000"",""A"""
"11,""'040"",""Austria"",""116"",""'01510"",""Potatoes"",""5419"",""Yield"",""1993"",""1993"",""hg/ha"",""284925.000000"",""E"""
"210,""'752"",""Sweden"",""292"",""'01442"",""Mustard seed"",""5312"",""Area harvested"",""1966"",""1966"",""ha"",""6322.000000"",""A"""
"134,""'470"",""Malta"",""1720"",""'F1720"",""Roots and Tubers, Total"",""5510"",""Production"",""2009"",""2009"",""tonnes"",""10069.000000"",""E"""
"229,""'826"",""United Kingdom of Great Britain and Northern Ireland"",""103"",""'01199.02"",""Mixed grain"",""5510"",""Production"",""1972"",""1972"",""tonnes"",""221949.000000"",""A"""
"134,""'470"",""Malta"",""1726"",""'F1726"",""Pulses, Total"",""5419"",""Yield"",""1985"",""1985"",""hg/ha"",""27692.000000"",""E"""
"97,""'348"",""Hungary"",""777"",""'01929.02"",""True hemp, raw or retted"",""5510"",""Production"",""1971"",""1971"",""tonnes"",""15300.000000"",""A"""
"11,""'040"",""Austria"",""1723"",""'F1723"",""Sugar Crops Primary"",""5312"",""Area harvested"",""1983"",""1983"",""ha"",""42034.000000"",""E"""
"98,""'191"",""Croatia"",""71"",""'0116"",""Rye"",""5510"",""Production"",""1993"",""1993"",""tonnes"",""6273.000000"",""A"""
"67,""'246"",""Finland"",""1807"",""'F1807"",""Sheep and Goat Meat"",""5510"",""Production"",""1994"",""1994"",""tonnes"",""1480.000000"",""E"""
"54,""'208"",""Denmark"",""367"",""'01211"",""Asparagus"",""5510"",""Production"",""1999"",""1999"",""tonnes"",,""M"""
"203,""'724"",""Spain"",""1080"",""'21124"",""Meat of turkeys, fresh or chilled"",""5321"",""Producing Animals/Slaughtered"",""1987"",""1987"",""1000 Head"",""5000.000000"",""T"""
"54,""'208"",""Denmark"",""103"",""'01199.02"",""Mixed grain"",""5312"",""Area harvested"",""2005"",""2005"",""ha"",,""M"""
"15,""'058"",""Belgium-Luxembourg"",""1780"",""'F1780"",""Milk, Total"",""5510"",""Production"",""1971"",""1971"",""tonnes"",""3819145.000000"",""E"""
"79,""'276"",""Germany"",""1745"",""'F1745"",""Cheese (All Kinds)"",""5510"",""Production"",""2007"",""2007"",""tonnes"",""1992640.000000"",""E"""
"203,""'724"",""Spain"",""882"",""'02211"",""Raw milk of cattle"",""5420"",""Yield"",""1977"",""1977"",""hg/An"",""28306.000000"",""E"""
"54,""'208"",""Denmark"",""44"",""'0115"",""Barley"",""5510"",""Production"",""1991"",""1991"",""tonnes"",""5041193.000000"",""A"""
"106,""'380"",""Italy"",""1089"",""'21170.01"",""Meat of pigeons and other birds n.e.c., fresh, chilled or frozen"",""5321"",""Producing Animals/Slaughtered"",""1997"",""1997"",""1000 Head"",,""M"""
"97,""'348"",""Hungary"",""526"",""'01343"",""Apricots"",""5312"",""Area harvested"",""1967"",""1967"",""ha"",,""M"""
"174,""'620"",""Portugal"",""568"",""'01229"",""Cantaloupes and other melons"",""5419"",""Yield"",""1992"",""1992"",""hg/ha"",""66667.000000"",""E"""
"174,""'620"",""Portugal"",""1163"",""'21170.02"",""Game meat, fresh, chilled or frozen"",""5510"",""Production"",""1985"",""1985"",""tonnes"",""4680.000000"",""A"""
"150,""'528"",""Netherlands"",""1034"",""'02140"",""Swine / pigs"",""5111"",""Stocks"",""1988"",""1988"",""Head"",""13934000.000000"",""A"""
"199,""'703"",""Slovakia"",""116"",""'01510"",""Potatoes"",""5312"",""Area harvested"",""2005"",""2005"",""ha"",""19101.000000"",""A"""
"126,""'440"",""Lithuania"",""103"",""'01199.02"",""Mixed grain"",""5419"",""Yield"",""2009"",""2009"",""hg/ha"",""20121.000000"",""E"""
"173,""'616"",""Poland"",""236"",""'0141"",""Soya beans"",""5312"",""Area harvested"",""1993"",""1993"",""ha"",,""M"""
"229,""'826"",""United Kingdom of Great Britain and Northern Ireland"",""116"",""'01510"",""Potatoes"",""5510"",""Production"",""1986"",""1986"",""tonnes"",""6412000.000000"",""A"""
"183,""'642"",""Romania"",""826"",""'01970"",""Unmanufactured tobacco"",""5419"",""Yield"",""1965"",""1965"",""hg/ha"",""9183.000000"",""E"""
"98,""'191"",""Croatia"",""1034"",""'02140"",""Swine / pigs"",""5111"",""Stocks"",""2005"",""2005"",""Head"",""1204960.000000"",""A"""
"11,""'040"",""Austria"",""75"",""'0117"",""Oats"",""5419"",""Yield"",""2005"",""2005"",""hg/ha"",""42502.000000"",""E"""
"84,""'300"",""Greece"",""560"",""'01330"",""Grapes"",""5419"",""Yield"",""2016"",""2016"",""hg/ha"",""91500.000000"",""E"""
"97,""'348"",""Hungary"",""15"",""'0111"",""Wheat"",""5419"",""Yield"",""1998"",""1998"",""hg/ha"",""41390.000000"",""E"""
"51,""'200"",""Czechoslovakia"",""1720"",""'F1720"",""Roots and Tubers, Total"",""5510"",""Production"",""1963"",""1963"",""tonnes"",""6506291.000000"",""E"""
"97,""'348"",""Hungary"",""388"",""'01234"",""Tomatoes"",""5419"",""Yield"",""1984"",""1984"",""hg/ha"",""242728.000000"",""E"""
"256,""'442"",""Luxembourg"",""1037"",""'21511.01"",""Fat of pigs"",""5320"",""Producing Animals/Slaughtered"",""2020"",""2020"",""Head"",""143410.000000"",""A"""
"27,""'100"",""Bulgaria"",""530"",""'01344.01"",""Sour cherries"",""5510"",""Production"",""1999"",""1999"",""tonnes"",""11000.000000"",""T"""
"203,""'724"",""Spain"",""1017"",""'21116"",""Meat of goat, fresh or chilled"",""5320"",""Producing Animals/Slaughtered"",""1981"",""1981"",""Head"",""1351915.000000"",""A"""
"79,""'276"",""Germany"",""1807"",""'F1807"",""Sheep and Goat Meat"",""5417"",""Yield/Carcass Weight"",""1989"",""1989"",""hg/An"",""184.000000"",""I"""
"174,""'620"",""Portugal"",""157"",""'01801"",""Sugar beet"",""5419"",""Yield"",""1971"",""1971"",""hg/ha"",""433865.000000"",""E"""
"50,""'196"",""Cyprus"",""560"",""'01330"",""Grapes"",""5510"",""Production"",""1968"",""1968"",""tonnes"",""168656.000000"",""A"""
"27,""'100"",""Bulgaria"",""44"",""'0115"",""Barley"",""5419"",""Yield"",""1998"",""1998"",""hg/ha"",""24732.000000"",""E"""
"27,""'100"",""Bulgaria"",""388"",""'01234"",""Tomatoes"",""5419"",""Yield"",""1992"",""1992"",""hg/ha"",""251265.000000"",""E"""
"15,""'058"",""Belgium-Luxembourg"",""919"",""'02951.01"",""Raw hides and skins of cattle"",""5510"",""Production"",""1989"",""1989"",""tonnes"",""27800.000000"",""E"""
"174,""'620"",""Portugal"",""900"",""'22130.02"",""Whey, dry"",""5510"",""Production"",""2000"",""2000"",""tonnes"",""840.000000"",""I"""
"106,""'380"",""Italy"",""181"",""'01702"",""Broad beans and horse beans, dry"",""5312"",""Area harvested"",""1993"",""1993"",""ha"",""80906.000000"",""A"""
"84,""'300"",""Greece"",""534"",""'01345"",""Peaches and nectarines"",""5312"",""Area harvested"",""1974"",""1974"",""ha"",""31000.000000"",""E"""
"68,""'250"",""France"",""1073"",""'21123"",""Meat of geese, fresh or chilled"",""5510"",""Production"",""1985"",""1985"",""tonnes"",""8043.000000"",""A"""
"229,""'826"",""United Kingdom of Great Britain and Northern Ireland"",""420"",""'01243"",""Broad beans and horse beans, green"",""5419"",""Yield"",""1966"",""1966"",""hg/ha"",""112965.000000"",""E"""
"167,""'203"",""Czechia"",""181"",""'01702"",""Broad beans and horse beans, dry"",""5419"",""Yield"",""1999"",""1999"",""hg/ha"",""15833.000000"",""E"""
"68,""'250"",""France"",""459"",""'01691"",""Chicory roots"",""5510"",""Production"",""2011"",""2011"",""tonnes"",""100948.000000"",""A"""
"167,""'203"",""Czechia"",""867"",""'21111.01"",""Meat of cattle with the bone, fresh or chilled"",""5510"",""Production"",""2012"",""2012"",""tonnes"",""66060.000000"",""A"""
"229,""'826"",""United Kingdom of Great Britain and Northern Ireland"",""1097"",""'21118.01"",""Horse meat, fresh or chilled"",""5510"",""Production"",""1994"",""1994"",""tonnes"",""2156.000000"",""E"""
"203,""'724"",""Spain"",""1062"",""'0231"",""Hen eggs in shell, fresh"",""5313"",""Laying"",""2000"",""2000"",""1000 Head"",""46443.000000"",""A"""
"256,""'442"",""Luxembourg"",""97"",""'01191"",""Triticale"",""5419"",""Yield"",""2013"",""2013"",""hg/ha"",""56448.000000"",""E"""
"27,""'100"",""Bulgaria"",""388"",""'01234"",""Tomatoes"",""5312"",""Area harvested"",""2013"",""2013"",""ha"",""3242.000000"",""A"""
"84,""'300"",""Greece"",""71"",""'0116"",""Rye"",""5419"",""Yield"",""2016"",""2016"",""hg/ha"",""22791.000000"",""E"""
"51,""'200"",""Czechoslovakia"",""339"",""'01449.90"",""Other oil seeds, n.e.c."",""5510"",""Production"",""1987"",""1987"",""tonnes"",""5400.000000"",""A"""
"68,""'250"",""France"",""1058"",""'21121"",""Meat of chickens, fresh or chilled"",""5510"",""Production"",""2007"",""2007"",""tonnes"",""1027391.000000"",""A"""
"51,""'200"",""Czechoslovakia"",""211"",""'01709.90"",""Other pulses n.e.c."",""5312"",""Area harvested"",""1979"",""1979"",""ha"",""2600.000000"",""E"""
"183,""'642"",""Romania"",""552"",""'01355.01"",""Blueberries"",""5510"",""Production"",""1980"",""1980"",""tonnes"",,""M"""
"104,""'372"",""Ireland"",""15"",""'0111"",""Wheat"",""5510"",""Production"",""1984"",""1984"",""tonnes"",""602000.000000"",""A"""
"134,""'470"",""Malta"",""977"",""'21115"",""Meat of sheep, fresh or chilled"",""5417"",""Yield/Carcass Weight"",""1996"",""1996"",""hg/An"",""155.000000"",""E"""
"68,""'250"",""France"",""541"",""'01349.20"",""Other stone fruits"",""5510"",""Production"",""2005"",""2005"",""tonnes"",,""M"""
"97,""'348"",""Hungary"",""1735"",""'F1735"",""Vegetables Primary"",""5312"",""Area harvested"",""1982"",""1982"",""ha"",""115205.000000"",""E"""
"97,""'348"",""Hungary"",""1068"",""'02154"",""Ducks"",""5112"",""Stocks"",""1994"",""1994"",""1000 Head"",""1304.000000"",""A"""
"98,""'191"",""Croatia"",""397"",""'01232"",""Cucumbers and gherkins"",""5419"",""Yield"",""1997"",""1997"",""hg/ha"",""84921.000000"",""E"""
"11,""'040"",""Austria"",""296"",""'01448"",""Poppy seed"",""5312"",""Area harvested"",""1999"",""1999"",""ha"",""1175.000000"",""A"""
"67,""'246"",""Finland"",""75"",""'0117"",""Oats"",""5510"",""Production"",""1993"",""1993"",""tonnes"",""1202300.000000"",""A"""
"84,""'300"",""Greece"",""403"",""'01253.02"",""Onions and shallots, dry (excluding dehydrated)"",""5312"",""Area harvested"",""2000"",""2000"",""ha"",""7951.000000"",""A"""
"126,""'440"",""Lithuania"",""1723"",""'F1723"",""Sugar Crops Primary"",""5312"",""Area harvested"",""2017"",""2017"",""ha"",""17146.000000"",""E"""
"79,""'276"",""Germany"",""1765"",""'F1765"",""Meat, Total"",""5510"",""Production"",""1972"",""1972"",""tonnes"",""5641026.000000"",""E"""
"174,""'620"",""Portugal"",""1738"",""'F1738"",""Fruit Primary"",""5419"",""Yield"",""1976"",""1976"",""hg/ha"",""43368.000000"",""E"""
"106,""'380"",""Italy"",""495"",""'01324"",""Tangerines, mandarins, clementines"",""5419"",""Yield"",""1970"",""1970"",""hg/ha"",""129112.000000"",""T"""
"126,""'440"",""Lithuania"",""564"",""'24212.02"",""Wine"",""5510"",""Production"",""2001"",""2001"",""tonnes"",""4290.000000"",""A"""
"174,""'620"",""Portugal"",""116"",""'01510"",""Potatoes"",""5510"",""Production"",""1979"",""1979"",""tonnes"",""1109550.000000"",""A"""
"84,""'300"",""Greece"",""1783"",""'F1783"",""Eggs Primary"",""5510"",""Production"",""1980"",""1980"",""tonnes"",""118618.000000"",""E"""
"51,""'200"",""Czechoslovakia"",""459"",""'01691"",""Chicory roots"",""5419"",""Yield"",""1985"",""1985"",""hg/ha"",""30234.000000"",""I"""
"68,""'250"",""France"",""1729"",""'F1729"",""Treenuts, Total"",""5510"",""Production"",""1969"",""1969"",""tonnes"",""106111.000000"",""E"""
"54,""'208"",""Denmark"",""296"",""'01448"",""Poppy seed"",""5510"",""Production"",""1975"",""1975"",""tonnes"",""902.000000"",""A"""
"134,""'470"",""Malta"",""1043"",""'21521"",""Pig fat, rendered"",""5510"",""Production"",""1962"",""1962"",""tonnes"",""279.680000"",""I"""
"134,""'470"",""Malta"",""521"",""'01342.01"",""Pears"",""5312"",""Area harvested"",""2002"",""2002"",""ha"",""6.000000"",""E"""
"79,""'276"",""Germany"",""420"",""'01243"",""Broad beans and horse beans, green"",""5510"",""Production"",""1969"",""1969"",""tonnes"",""26600.000000"",""A"""
"27,""'100"",""Bulgaria"",""402"",""'01253.01"",""Onions and shallots, green"",""5419"",""Yield"",""1998"",""1998"",""hg/ha"",""81818.000000"",""E"""
"68,""'250"",""France"",""1017"",""'21116"",""Meat of goat, fresh or chilled"",""5510"",""Production"",""1981"",""1981"",""tonnes"",""9648.000000"",""A"""
"54,""'208"",""Denmark"",""15"",""'0111"",""Wheat"",""5419"",""Yield"",""1970"",""1970"",""hg/ha"",""44859.000000"",""E"""
"203,""'724"",""Spain"",""60"",""'21691.02"",""Oil of maize"",""5510"",""Production"",""1974"",""1974"",""tonnes"",""7000.000000"",""E"""
"119,""'428"",""Latvia"",""71"",""'0116"",""Rye"",""5419"",""Yield"",""2001"",""2001"",""hg/ha"",""19211.000000"",""E"""
"68,""'250"",""France"",""1025"",""'02954"",""Raw hides and skins of goats or kids"",""5320"",""Producing Animals/Slaughtered"",""1973"",""1973"",""Head"",""1013359.000000"",""A"""
"51,""'200"",""Czechoslovakia"",""393"",""'01213"",""Cauliflowers and broccoli"",""5510"",""Production"",""1967"",""1967"",""tonnes"",""90239.000000"",""A"""
"27,""'100"",""Bulgaria"",""242"",""'0142"",""Groundnuts, excluding shelled"",""5312"",""Area harvested"",""1976"",""1976"",""ha"",""2392.000000"",""A"""
"11,""'040"",""Austria"",""449"",""'01270"",""Mushrooms and truffles"",""5510"",""Production"",""1980"",""1980"",""tonnes"",""4100.000000"",""E"""
"119,""'428"",""Latvia"",""397"",""'01232"",""Cucumbers and gherkins"",""5510"",""Production"",""1998"",""1998"",""tonnes"",""8164.000000"",""A"""
"126,""'440"",""Lithuania"",""867"",""'21111.01"",""Meat of cattle with the bone, fresh or chilled"",""5417"",""Yield/Carcass Weight"",""1999"",""1999"",""hg/An"",""1593.000000"",""E"""
"98,""'191"",""Croatia"",""1181"",""'02196"",""Bees"",""5114"",""Stocks"",""2003"",""2003"",""No"",""111000.000000"",""A"""
"229,""'826"",""United Kingdom of Great Britain and Northern Ireland"",""1058"",""'21121"",""Meat of chickens, fresh or chilled"",""5321"",""Producing Animals/Slaughtered"",""1992"",""1992"",""1000 Head"",""650000.000000"",""A"""
"150,""'528"",""Netherlands"",""333"",""'01441"",""Linseed"",""5419"",""Yield"",""1977"",""1977"",""hg/ha"",""12257.000000"",""E"""
"68,""'250"",""France"",""995"",""'02953"",""Raw hides and skins of sheep or lambs"",""5320"",""Producing Animals/Slaughtered"",""1964"",""1964"",""Head"",""5000000.000000"",""A"""
"68,""'250"",""France"",""1738"",""'F1738"",""Fruit Primary"",""5419"",""Yield"",""1975"",""1975"",""hg/ha"",""100017.000000"",""E"""
"84,""'300"",""Greece"",""1720"",""'F1720"",""Roots and Tubers, Total"",""5312"",""Area harvested"",""2018"",""2018"",""ha"",""16830.000000"",""E"""
"54,""'208"",""Denmark"",""900"",""'22130.02"",""Whey, dry"",""5510"",""Production"",""1993"",""1993"",""tonnes"",""24700.000000"",""A"""
"68,""'250"",""France"",""1720"",""'F1720"",""Roots and Tubers, Total"",""5419"",""Yield"",""2005"",""2005"",""hg/ha"",""409470.000000"",""E"""
"210,""'752"",""Sweden"",""1080"",""'21124"",""Meat of turkeys, fresh or chilled"",""5321"",""Producing Animals/Slaughtered"",""2006"",""2006"",""1000 Head"",""490.000000"",""A"""
"126,""'440"",""Lithuania"",""1017"",""'21116"",""Meat of goat, fresh or chilled"",""5510"",""Production"",""2010"",""2010"",""tonnes"",""183.000000"",""A"""
"106,""'380"",""Italy"",""995"",""'02953"",""Raw hides and skins of sheep or lambs"",""5320"",""Producing Animals/Slaughtered"",""1978"",""1978"",""Head"",""6412200.000000"",""A"""
"67,""'246"",""Finland"",""541"",""'01349.20"",""Other stone fruits"",""5312"",""Area harvested"",""2018"",""2018"",""ha"",""0.000000"",""A"""
"167,""'203"",""Czechia"",""1738"",""'F1738"",""Fruit Primary"",""5312"",""Area harvested"",""2001"",""2001"",""ha"",""52547.000000"",""E"""
"256,""'442"",""Luxembourg"",""526"",""'01343"",""Apricots"",""5510"",""Production"",""2019"",""2019"",""tonnes"",""0.000000"",""A"""
"79,""'276"",""Germany"",""1058"",""'21121"",""Meat of chickens, fresh or chilled"",""5321"",""Producing Animals/Slaughtered"",""1973"",""1973"",""1000 Head"",""351731.000000"",""E"""
"229,""'826"",""United Kingdom of Great Britain and Northern Ireland"",""1182"",""'02910"",""Natural honey"",""5314"",""Prod Popultn"",""1965"",""1965"",""No"",""203700.000000"",""A"""
"106,""'380"",""Italy"",""399"",""'01233"",""Eggplants (aubergines)"",""5510"",""Production"",""1970"",""1970"",""tonnes"",""319000.000000"",""A"""
"97,""'348"",""Hungary"",""116"",""'01510"",""Potatoes"",""5510"",""Production"",""1993"",""1993"",""tonnes"",""1057411.000000"",""A"""
"97,""'348"",""Hungary"",""201"",""'01704"",""Lentils, dry"",""5312"",""Area harvested"",""1969"",""1969"",""ha"",""2432.000000"",""A"""
"150,""'528"",""Netherlands"",""290"",""'21691.07"",""Oil of sesame seed"",""5510"",""Production"",""2003"",""2003"",""tonnes"",""2820.000000"",""I"""
"203,""'724"",""Spain"",""268"",""'21631.01"",""Sunflower-seed oil, crude"",""5510"",""Production"",""1997"",""1997"",""tonnes"",""577218.400000"",""I"""
"97,""'348"",""Hungary"",""211"",""'01709.90"",""Other pulses n.e.c."",""5419"",""Yield"",""2008"",""2008"",""hg/ha"",""12800.000000"",""E"""
"104,""'372"",""Ireland"",""388"",""'01234"",""Tomatoes"",""5312"",""Area harvested"",""2001"",""2001"",""ha"",""28.000000"",""A"""
"84,""'300"",""Greece"",""723"",""'01699"",""Other stimulant, spice and aromatic crops, n.e.c."",""5510"",""Production"",""1994"",""1994"",""tonnes"",""200.000000"",""E"""
"150,""'528"",""Netherlands"",""44"",""'0115"",""Barley"",""5419"",""Yield"",""1992"",""1992"",""hg/ha"",""59887.000000"",""E"""
"255,""'056"",""Belgium"",""187"",""'01705"",""Peas, dry"",""5312"",""Area harvested"",""2007"",""2007"",""ha"",""1014.000000"",""A"""
"67,""'246"",""Finland"",""882"",""'02211"",""Raw milk of cattle"",""5318"",""Milk Animals"",""2012"",""2012"",""Head"",""283619.000000"",""A"""
"67,""'246"",""Finland"",""1062"",""'0231"",""Hen eggs in shell, fresh"",""5410"",""Yield"",""2018"",""2018"",""100mg/An"",""187905.000000"",""E"""
"104,""'372"",""Ireland"",""463"",""'01290.90"",""Other vegetables, fresh n.e.c."",""5510"",""Production"",""2009"",""2009"",""tonnes"",""37000.000000"",""E"""
"106,""'380"",""Italy"",""995"",""'02953"",""Raw hides and skins of sheep or lambs"",""5320"",""Producing Animals/Slaughtered"",""2012"",""2012"",""Head"",""5089609.000000"",""A"""
"84,""'300"",""Greece"",""1062"",""'0231"",""Hen eggs in shell, fresh"",""5513"",""Production"",""2000"",""2000"",""1000 No"",""2294715.000000"",""A"""
"106,""'380"",""Italy"",""1783"",""'F1783"",""Eggs Primary"",""5410"",""Yield"",""2002"",""2002"",""100mg/An"",""121443.000000"",""E"""
"203,""'724"",""Spain"",""486"",""'01312"",""Bananas"",""5419"",""Yield"",""1995"",""1995"",""hg/ha"",""438023.000000"",""E"""
"84,""'300"",""Greece"",""526"",""'01343"",""Apricots"",""5419"",""Yield"",""2007"",""2007"",""hg/ha"",""136692.000000"",""E"""
"210,""'752"",""Sweden"",""890"",""'22130.03"",""Whey, condensed"",""5510"",""Production"",""2007"",""2007"",""tonnes"",""17500.000000"",""I"""
"256,""'442"",""Luxembourg"",""919"",""'02951.01"",""Raw hides and skins of cattle"",""5420"",""Yield"",""2014"",""2014"",""hg/An"",""331.000000"",""E"""
"203,""'724"",""Spain"",""366"",""'01216"",""Artichokes"",""5419"",""Yield"",""2018"",""2018"",""hg/ha"",""133800.000000"",""E"""
"183,""'642"",""Romania"",""567"",""'01221"",""Watermelons"",""5419"",""Yield"",""2010"",""2010"",""hg/ha"",""225677.000000"",""E"""
"198,""'705"",""Slovenia"",""1738"",""'F1738"",""Fruit Primary"",""5312"",""Area harvested"",""2016"",""2016"",""ha"",""19447.000000"",""E"""
"183,""'642"",""Romania"",""420"",""'01243"",""Broad beans and horse beans, green"",""5510"",""Production"",""2009"",""2009"",""tonnes"",""400.000000"",""E"""
"15,""'058"",""Belgium-Luxembourg"",""417"",""'01242"",""Peas, green"",""5419"",""Yield"",""1988"",""1988"",""hg/ha"",""113208.000000"",""E"""
"27,""'100"",""Bulgaria"",""1738"",""'F1738"",""Fruit Primary"",""5419"",""Yield"",""2018"",""2018"",""hg/ha"",""74577.000000"",""E"""
"54,""'208"",""Denmark"",""1035"",""'21113.01"",""Meat of pig with the bone, fresh or chilled"",""5510"",""Production"",""1989"",""1989"",""tonnes"",""1163419.000000"",""A"""
"167,""'203"",""Czechia"",""56"",""'0112"",""Maize (corn)"",""5312"",""Area harvested"",""2019"",""2019"",""ha"",""74830.000000"",""A"""
"67,""'246"",""Finland"",""888"",""'22110.02"",""Skim milk of cows"",""5510"",""Production"",""1973"",""1973"",""tonnes"",""1597000.000000"",""T"""
"210,""'752"",""Sweden"",""919"",""'02951.01"",""Raw hides and skins of cattle"",""5320"",""Producing Animals/Slaughtered"",""2011"",""2011"",""Head"",""456120.000000"",""A"""
"84,""'300"",""Greece"",""1735"",""'F1735"",""Vegetables Primary"",""5419"",""Yield"",""1963"",""1963"",""hg/ha"",""95655.000000"",""E"""
"174,""'620"",""Portugal"",""44"",""'0115"",""Barley"",""5312"",""Area harvested"",""2005"",""2005"",""ha"",""34338.000000"",""A"""
"11,""'040"",""Austria"",""900"",""'22130.02"",""Whey, dry"",""5510"",""Production"",""1979"",""1979"",""tonnes"",,""M"""
"68,""'250"",""France"",""1717"",""'F1717"",""Cereals, Total"",""5312"",""Area harvested"",""2012"",""2012"",""ha"",""9420575.000000"",""E"""
"68,""'250"",""France"",""366"",""'01216"",""Artichokes"",""5510"",""Production"",""1980"",""1980"",""tonnes"",""102544.000000"",""A"""
"167,""'203"",""Czechia"",""1097"",""'21118.01"",""Horse meat, fresh or chilled"",""5417"",""Yield/Carcass Weight"",""2019"",""2019"",""hg/An"",""2500.000000"",""E"""
"199,""'703"",""Slovakia"",""373"",""'01215"",""Spinach"",""5510"",""Production"",""2020"",""2020"",""tonnes"",""1420.000000"",""A"""
"79,""'276"",""Germany"",""1182"",""'02910"",""Natural honey"",""5510"",""Production"",""1963"",""1963"",""tonnes"",""14183.000000"",""A"""
